run_name,seed,interval_index,tokens_seen,target_checkpoint_tokens,step,train_loss,val_loss,val_ppl,elapsed_seconds,tokens_per_second,learning_rate,epoch_equivalent,device,precision
followup_cpu_rapid_20m,202,0,0,0,0,nan,8.368661046028137,4309.861491455423,0.1329707000113558,0.0,0.0004,0.0,cpu,fp32
followup_cpu_rapid_20m,202,1,1001472,1000000,489,5.552535688157949,3.6919830441474915,40.12433644621633,190.36473979998846,5264.483449521369,0.0003997696,2.336459587334472,cpu,fp32
followup_cpu_rapid_20m,202,2,2000896,2000000,977,3.5664446771022726,3.0801197588443756,21.761008313361206,378.8751159000094,5301.6922499253815,0.0003975506747393183,4.6681411387030245,cpu,fp32
followup_cpu_rapid_20m,202,3,3000320,3000000,1465,3.0909113949317426,2.908455193042755,18.32846274919822,565.5703719999874,5353.23725346719,0.0003902637956963048,6.999822690071578,cpu,fp32
followup_cpu_rapid_20m,202,4,4001792,4000000,1954,2.7616536824493565,2.772900938987732,16.004996247882758,753.0153858000122,5342.750813678181,0.0003783089014084503,9.336282277406049,cpu,fp32
followup_cpu_rapid_20m,202,5,5001216,5000000,2442,2.474310842480083,2.7905391454696655,16.28980000654722,941.2870792000031,5308.413505776904,0.0003620604997059477,11.667963828774601,cpu,fp32
followup_cpu_rapid_20m,202,6,6000640,6000000,2930,2.2416279384347257,2.8814875185489655,17.84079196010228,1127.6016347999976,5364.175637171901,0.00034194151049566187,13.999645380143155,cpu,fp32
followup_cpu_rapid_20m,202,7,7000064,7000000,3418,2.0189041543263393,2.8751519322395325,17.728117389437013,1313.615298299992,5372.852623807551,0.00031850009676778177,16.331326931511708,cpu,fp32
followup_cpu_rapid_20m,202,8,8001536,8000000,3907,1.7975929016837802,3.0436802804470062,20.98232214200842,1748.2737428999972,2304.0435828219224,0.00029231913107838234,18.667786518846178,cpu,fp32
followup_cpu_rapid_20m,202,9,9000960,9000000,4395,1.6064226661243888,3.2152619659900665,24.90981658127028,1938.0305673000112,5266.867229466168,0.0002642187776561557,20.999468070214732,cpu,fp32
followup_cpu_rapid_20m,202,10,10000384,10000000,4883,1.4271001578079627,3.242722660303116,25.603336123088944,2125.678328799986,5326.0640681830555,0.0002349136371977041,23.331149621583286,cpu,fp32
followup_cpu_rapid_20m,202,11,11001856,11000000,5372,1.251148645390884,3.396385908126831,29.856002491838524,2312.055717799987,5373.35567030609,0.0002051414126966148,25.667609208917757,cpu,fp32
followup_cpu_rapid_20m,202,12,12001280,12000000,5860,1.0980794572836308,3.546987384557724,34.70859617147199,2497.9868623999937,5375.237172610645,0.0001758347708021654,27.99929076028631,cpu,fp32
followup_cpu_rapid_20m,202,13,13000704,13000000,6348,0.9707647418969723,3.549986392259598,34.812843760238295,2686.6783167000103,5296.604468429877,0.0001477314569599569,30.33097231165486,cpu,fp32
followup_cpu_rapid_20m,202,14,14000128,14000000,6836,0.8568637092582515,3.6866466999053955,39.910789461322175,2874.4830759000033,5321.6116793702495,0.0001215971754699891,32.662653863023415,cpu,fp32
followup_cpu_rapid_20m,202,15,15001600,15000000,7325,0.7649541933752276,3.8399345576763153,46.52242980425643,3055.92701829999,5519.456790639456,9.809912727589955e-05,34.99911345035789,cpu,fp32
followup_cpu_rapid_20m,202,16,16001024,16000000,7813,0.6942504312323986,3.824387490749359,45.80473594786168,3237.0168088999926,5518.94171774466,7.797342955539365e-05,37.330795001726436,cpu,fp32
followup_cpu_rapid_20m,202,17,17000448,17000000,8301,0.6307510180383554,3.817735016345978,45.50103242441583,3419.6166868,5473.3004835156,6.171739490431292e-05,39.66247655309499,cpu,fp32
followup_cpu_rapid_20m,202,18,18001920,18000000,8790,0.5845540340586065,3.932269662618637,51.02265055299905,3601.153934800008,5516.619928048908,4.975413350531428e-05,41.998936140429464,cpu,fp32
followup_cpu_rapid_20m,202,19,19001344,19000000,9278,0.5491060927724007,3.895770162343979,49.193926086163174,3782.3661147000093,5515.214267338504,4.2458415302881805e-05,44.33061769179802,cpu,fp32
followup_cpu_rapid_20m,202,20,20000768,20000000,9766,0.5155983522274822,3.9156909584999084,50.18373441219391,3963.573474900011,5515.360959383314,4.0000004031391645e-05,46.66229924316657,cpu,fp32
