
encoding train: 0it [00:00, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

encoding train: 0it [00:03, ?it/s, docs=1, tokens=167]
encoding train: 1it [00:03,  3.58s/it, docs=1, tokens=167]
encoding train: 1it [00:03,  3.58s/it, docs=2, tokens=338]
encoding train: 1it [00:03,  3.58s/it, docs=3, tokens=552]
encoding train: 1it [00:03,  3.58s/it, docs=4, tokens=746]
encoding train: 1it [00:03,  3.58s/it, docs=5, tokens=913]
encoding train: 1it [00:03,  3.58s/it, docs=6, tokens=1076]
encoding train: 1it [00:03,  3.58s/it, docs=7, tokens=1245]
encoding train: 1it [00:03,  3.58s/it, docs=8, tokens=1430]
encoding train: 1it [00:03,  3.58s/it, docs=9, tokens=1629]
encoding train: 1it [00:03,  3.58s/it, docs=10, tokens=1787]
encoding train: 1it [00:03,  3.58s/it, docs=11, tokens=1992]
encoding train: 1it [00:03,  3.58s/it, docs=12, tokens=2113]
encoding train: 1it [00:03,  3.58s/it, docs=13, tokens=2232]
encoding train: 1it [00:03,  3.58s/it, docs=14, tokens=2453]
encoding train: 1it [00:03,  3.58s/it, docs=15, tokens=2639]
encoding train: 1it [00:03,  3.58s/it, docs=16, tokens=2768]
encoding train: 1it [00:03,  3.58s/it, docs=17, tokens=2970]
encoding train: 1it [00:03,  3.58s/it, docs=18, tokens=3146]
encoding train: 1it [00:03,  3.58s/it, docs=19, tokens=3285]
encoding train: 1it [00:03,  3.58s/it, docs=20, tokens=3384]
encoding train: 1it [00:03,  3.58s/it, docs=21, tokens=3542]
encoding train: 1it [00:03,  3.58s/it, docs=22, tokens=3794]
encoding train: 1it [00:03,  3.58s/it, docs=23, tokens=3900]
encoding train: 1it [00:03,  3.58s/it, docs=24, tokens=4066]
encoding train: 1it [00:03,  3.58s/it, docs=25, tokens=4220]
encoding train: 1it [00:03,  3.58s/it, docs=26, tokens=4356]
encoding train: 1it [00:03,  3.58s/it, docs=27, tokens=4530]
encoding train: 1it [00:03,  3.58s/it, docs=28, tokens=4672]
encoding train: 1it [00:03,  3.58s/it, docs=29, tokens=4818]
encoding train: 1it [00:03,  3.58s/it, docs=30, tokens=4949]
encoding train: 1it [00:03,  3.58s/it, docs=31, tokens=5135]
encoding train: 1it [00:03,  3.58s/it, docs=32, tokens=5292]
encoding train: 1it [00:03,  3.58s/it, docs=33, tokens=5503]
encoding train: 1it [00:03,  3.58s/it, docs=34, tokens=5636]
encoding train: 1it [00:03,  3.58s/it, docs=35, tokens=5837]
encoding train: 1it [00:03,  3.58s/it, docs=36, tokens=6065]
encoding train: 1it [00:03,  3.58s/it, docs=37, tokens=6232]
encoding train: 1it [00:03,  3.58s/it, docs=38, tokens=6351]
encoding train: 1it [00:03,  3.58s/it, docs=39, tokens=6522]
encoding train: 1it [00:03,  3.58s/it, docs=40, tokens=6671]
encoding train: 1it [00:03,  3.58s/it, docs=41, tokens=6815]
encoding train: 1it [00:03,  3.58s/it, docs=42, tokens=7073]
encoding train: 1it [00:03,  3.58s/it, docs=43, tokens=7301]
